,A,B
1,36,18.25
2,42,19.75
3,33,16.5
4,39,18.25
5,43,19.5
6,34,16.25
7,37,17.25
8,41,19
9,27,16.25
10,30,17.5
11,26,15.5
12,35,19.75
13,39,22
14,31,18.25
15,27,18.25
16,35,20.5
17,27,16
18,35,18
19,40,20.25
20,41,19.75
21,38,19
22,38,19.75
23,39,17.5
24,42,21
25,46,21.75
26,56,23
27,53,22.25
28,54,23
29,53,23
30,38,19
31,53,23.25
32,59,24
33,50,22
34,38,19
35,44,19.75
36,43,22.25
37,47,21.75
38,54,23.25
39,56,24.25
40,56,23.25
41,57,24.25
42,58,24.5
43,52,23
44,52,22.5
45,47,21.25
46,44,19.75
47,49,22.5
48,37,18.75
49,32,12.5
50,35,18
51,56,23.5
52,58,24
53,52,23.75
54,54,23.75
55,58,23.25
56,43,21.25
57,51,23.25
58,40,20.5
59,52,23.25
60,46,22.25
61,54,23.75
62,56,24.75
63,55,24.25
64,46,21.25
65,47,20.75
66,43,19.75
67,52,22.25
68,40,20.25
69,36,18.75
70,47,21.25
71,51,22
72,39,19.75
73,34,16.25
74,48,21
75,41,18.75
76,48,21.75
77,37,19.25
78,43,19.75
79,45,21.25
80,50,22
81,52,21.75
82,45,20.25
83,53,23.25
84,35,18.25
85,46,22.75
86,41,20.75
87,35,18.5
88,43,21.75
89,36,19.75
90,56,23.75
91,52,23.25
92,49,22.5
93,46,22.25
94,47,22.25
95,57,23.5
96,61,24.25
97,46,21.25
98,54,22.5
99,57,23
100,49,21.75
101,44,21.25
102,44,22
103,31,15.75
104,42,21.5
105,41,21.75
106,41,21.25
107,49,23
108,38,20.75
109,39,21
110,43,22.25
111,54,22.25
112,53,22.75
113,56,23.25
114,46,21.25
115,44,21.75
116,55,22.75
117,50,22.25
118,36,19
119,35,19.25
120,56,23.75
121,46,22.5
122,52,23.25
123,48,22.75
124,51,23.25
125,47,23.25
126,50,22.75
127,28,15.25
128,49,23
129,49,22.75
130,46,22.75
131,47,23.25
132,47,23
133,50,23.25
134,48,23.75
135,50,23
136,58,24.75
137,60,25.25
138,55,23.75
139,32,16.75
140,52,22.75
141,54,24.25
142,29,15.25
143,55,23.25
144,59,23.25
145,60,24.5
146,49,23.25
147,39,20.75
148,65,25.25
149,49,22.25
150,62,23.75
151,54,23.75
152,63,24.25
153,54,23.75
154,54,23.75
155,58,22.25
156,60,24.75
157,59,25.25
158,62,24.25
159,57,24.75
160,59,24.75
161,57,22.25
162,47,22.25
163,62,25
164,59,22.5
165,58,24
166,65,25.25
167,62,24.25
168,58,24.75
169,65,25.75
170,58,23.75
171,45,22.5
172,54,23.5
173,47,20.75
174,54,23.75
175,54,23.25
176,47,22
177,60,23.25
178,64,25.75
179,64,25
180,66,26
181,60,26
182,43,23
183,36,20.25
184,49,23.75
185,42,23
186,55,24.25
187,54,24.75
188,52,24.75
189,48,24.25
190,54,22.5
191,59,23.25
192,55,21.75
193,55,22.25
194,48,21.25
195,59,23.25
196,53,21.75
197,59,23.5
198,56,22.5
199,51,22.25
200,49,22.75
